Scenario,Classifier,Mean AUC,Std AUC,Folds
A: Baseline,Random Forest,0.8499,0.0464,5
A: Baseline,Gradient Boosting,0.8358,0.0535,5
A: Baseline,Logistic Regression,0.8321,0.0475,5
B: Real + cGAN,Random Forest,0.8227,0.0573,5
B: Real + cGAN,Gradient Boosting,0.8081,0.0688,5
B: Real + cGAN,Logistic Regression,0.8184,0.0618,5
C: Real + Consensus,Random Forest,0.8377,0.0723,5
C: Real + Consensus,Gradient Boosting,0.8088,0.0573,5
C: Real + Consensus,Logistic Regression,0.7803,0.0404,5
D: Real + SMOTE,Random Forest,0.8559,0.0377,5
D: Real + SMOTE,Gradient Boosting,0.8126,0.0279,5
D: Real + SMOTE,Logistic Regression,0.83,0.044,5
