Scenario,Classifier,n_train,Accuracy,F1,Precision,Recall,AUC
A: Baseline (real data only),Random Forest,187,0.8158,0.7903,0.8101,0.8158,0.8924
A: Baseline (real data only),Gradient Boosting,187,0.8289,0.8196,0.8197,0.8289,0.8356
A: Baseline (real data only),Logistic Regression,187,0.8684,0.8594,0.8663,0.8684,0.916
B: Real data plus filtered cGAN,Random Forest,443,0.8421,0.8262,0.8392,0.8421,0.9077
B: Real data plus filtered cGAN,Gradient Boosting,443,0.8289,0.8238,0.8219,0.8289,0.8652
B: Real data plus filtered cGAN,Logistic Regression,443,0.8816,0.8751,0.8796,0.8816,0.9252
C: Real data plus consensus synthetic,Random Forest,934,0.8289,0.8087,0.825,0.8289,0.9104
C: Real data plus consensus synthetic,Gradient Boosting,934,0.8421,0.8262,0.8392,0.8421,0.868
C: Real data plus consensus synthetic,Logistic Regression,934,0.8553,0.8431,0.8529,0.8553,0.9077
E: Synthetic data only (cGAN filtered),Random Forest,256,0.8553,0.8509,0.85,0.8553,0.91
E: Synthetic data only (cGAN filtered),Gradient Boosting,256,0.8158,0.8212,0.8314,0.8158,0.8901
E: Synthetic data only (cGAN filtered),Logistic Regression,256,0.9079,0.9071,0.9066,0.9079,0.8957
