Scenario,Classifier,n_train,Accuracy,F1,Precision,Recall,AUC
A: Baseline (real data only),Random Forest,193,0.7831,0.7848,0.7901,0.7831,0.8324
A: Baseline (real data only),Gradient Boosting,193,0.7831,0.7848,0.7901,0.7831,0.8297
A: Baseline (real data only),Logistic Regression,193,0.8193,0.8204,0.8237,0.8193,0.8424
B: Real data plus filtered cGAN,Random Forest,485,0.7831,0.7848,0.7901,0.7831,0.837
B: Real data plus filtered cGAN,Gradient Boosting,485,0.7952,0.7965,0.7998,0.7952,0.8085
B: Real data plus filtered cGAN,Logistic Regression,485,0.759,0.7614,0.7716,0.759,0.8467
C: Real data plus consensus synthetic,Random Forest,980,0.759,0.7614,0.7716,0.759,0.8321
C: Real data plus consensus synthetic,Gradient Boosting,980,0.7108,0.7139,0.7301,0.7108,0.8176
C: Real data plus consensus synthetic,Logistic Regression,980,0.8193,0.8211,0.8346,0.8193,0.8461
E: Synthetic data only (cGAN filtered),Random Forest,292,0.6867,0.684,0.7672,0.6867,0.8091
E: Synthetic data only (cGAN filtered),Gradient Boosting,292,0.6506,0.6506,0.7076,0.6506,0.6867
E: Synthetic data only (cGAN filtered),Logistic Regression,292,0.6988,0.6988,0.76,0.6988,0.8485
