n_test,n_discordant_observed,discordant_rate,delta,power_at_observed_n,required_n_for_80pct_power
83,8,0.0924,0.02,0.0183,
83,8,0.0924,0.03,0.0343,800.0
83,8,0.0924,0.04,0.0628,450.0
83,8,0.0924,0.05,0.1106,270.0
83,8,0.0924,0.06,0.1876,180.0
83,8,0.0924,0.07,0.308,130.0
83,8,0.0924,0.08,0.4913,70.0
83,8,0.0924,0.09,0.7638,65.0
83,8,0.0924,0.1,0.992,60.0
83,8,0.0924,0.11,0.992,60.0
83,8,0.0924,0.12,0.992,60.0
83,8,0.0924,0.13,0.992,60.0
83,8,0.0924,0.14,0.992,60.0
83,8,0.0924,0.15,0.992,60.0
83,8,0.0924,0.16,0.992,60.0
83,8,0.0924,0.17,0.992,60.0
83,8,0.0924,0.18,0.992,60.0
83,8,0.0924,0.19,0.992,60.0
83,8,0.0924,0.2,0.992,60.0
