Generator,Scenario,Classifier,n_train,Accuracy,F1,Precision,Recall,AUC,Framing,FID
Vanilla GAN,E: Synthetic data only (Vanilla GAN),Random Forest,331,0.6988,0.6988,0.76,0.6988,0.8258,"Classification (Status, N_Days excluded)",0.0995
Vanilla GAN,E: Synthetic data only (Vanilla GAN),Gradient Boosting,331,0.6627,0.6511,0.793,0.6627,0.8297,"Classification (Status, N_Days excluded)",0.0995
Vanilla GAN,E: Synthetic data only (Vanilla GAN),Logistic Regression,331,0.6747,0.6707,0.761,0.6747,0.8115,"Classification (Status, N_Days excluded)",0.0995
cGAN,E: Synthetic data only (cGAN),Random Forest,292,0.6867,0.684,0.7672,0.6867,0.8091,"Classification (Status, N_Days excluded)",0.0724
cGAN,E: Synthetic data only (cGAN),Gradient Boosting,292,0.6506,0.6506,0.7076,0.6506,0.6867,"Classification (Status, N_Days excluded)",0.0724
cGAN,E: Synthetic data only (cGAN),Logistic Regression,292,0.6988,0.6988,0.76,0.6988,0.8485,"Classification (Status, N_Days excluded)",0.0724
VAE,E: Synthetic data only (VAE),Random Forest,499,0.747,0.7342,0.7516,0.747,0.8403,"Classification (Status, N_Days excluded)",0.228
VAE,E: Synthetic data only (VAE),Gradient Boosting,499,0.7229,0.7155,0.7191,0.7229,0.8152,"Classification (Status, N_Days excluded)",0.228
VAE,E: Synthetic data only (VAE),Logistic Regression,499,0.7349,0.7334,0.7327,0.7349,0.7794,"Classification (Status, N_Days excluded)",0.228
Masked-loss VAE,E: Synthetic data only (Masked-loss VAE),Random Forest,357,0.8193,0.8145,0.8226,0.8193,0.8567,"Classification (Status, N_Days excluded)",0.0619
Masked-loss VAE,E: Synthetic data only (Masked-loss VAE),Gradient Boosting,357,0.759,0.7576,0.7571,0.759,0.8036,"Classification (Status, N_Days excluded)",0.0619
Masked-loss VAE,E: Synthetic data only (Masked-loss VAE),Logistic Regression,357,0.7108,0.7108,0.7108,0.7108,0.7321,"Classification (Status, N_Days excluded)",0.0619
CTGAN,E: Synthetic data only (CTGAN),Random Forest,204,0.7349,0.7315,0.7316,0.7349,0.7997,"Classification (Status, N_Days excluded)",0.1079
CTGAN,E: Synthetic data only (CTGAN),Gradient Boosting,204,0.7108,0.7121,0.7143,0.7108,0.7321,"Classification (Status, N_Days excluded)",0.1079
CTGAN,E: Synthetic data only (CTGAN),Logistic Regression,204,0.7831,0.7803,0.7813,0.7831,0.7994,"Classification (Status, N_Days excluded)",0.1079
Consensus,E: Synthetic data only (Consensus),Random Forest,787,0.7108,0.7137,0.7239,0.7108,0.8336,"Classification (Status, N_Days excluded)",0.0809
Consensus,E: Synthetic data only (Consensus),Gradient Boosting,787,0.6988,0.7011,0.7381,0.6988,0.7933,"Classification (Status, N_Days excluded)",0.0809
Consensus,E: Synthetic data only (Consensus),Logistic Regression,787,0.7349,0.7349,0.7349,0.7349,0.7867,"Classification (Status, N_Days excluded)",0.0809
Vanilla GAN,E: Synthetic data only (Vanilla GAN),Random Forest,316,0.7895,0.7396,0.7915,0.7895,0.8403,Landmark (3-year horizon),0.0995
Vanilla GAN,E: Synthetic data only (Vanilla GAN),Gradient Boosting,316,0.8158,0.8158,0.8158,0.8158,0.8726,Landmark (3-year horizon),0.0995
Vanilla GAN,E: Synthetic data only (Vanilla GAN),Logistic Regression,316,0.7895,0.7895,0.7895,0.7895,0.7978,Landmark (3-year horizon),0.0995
cGAN,E: Synthetic data only (cGAN),Random Forest,256,0.8553,0.8509,0.85,0.8553,0.91,Landmark (3-year horizon),0.0724
cGAN,E: Synthetic data only (cGAN),Gradient Boosting,256,0.8158,0.8212,0.8314,0.8158,0.8901,Landmark (3-year horizon),0.0724
cGAN,E: Synthetic data only (cGAN),Logistic Regression,256,0.9079,0.9071,0.9066,0.9079,0.8957,Landmark (3-year horizon),0.0724
VAE,E: Synthetic data only (VAE),Random Forest,499,,,,,,Landmark (3-year horizon),0.228
VAE,E: Synthetic data only (VAE),Gradient Boosting,499,,,,,,Landmark (3-year horizon),0.228
VAE,E: Synthetic data only (VAE),Logistic Regression,499,,,,,,Landmark (3-year horizon),0.228
Masked-loss VAE,E: Synthetic data only (Masked-loss VAE),Random Forest,335,0.8026,0.7614,0.8083,0.8026,0.9363,Landmark (3-year horizon),0.0619
Masked-loss VAE,E: Synthetic data only (Masked-loss VAE),Gradient Boosting,335,0.8158,0.7903,0.8101,0.8158,0.8717,Landmark (3-year horizon),0.0619
Masked-loss VAE,E: Synthetic data only (Masked-loss VAE),Logistic Regression,335,0.8026,0.7861,0.7878,0.8026,0.7645,Landmark (3-year horizon),0.0619
CTGAN,E: Synthetic data only (CTGAN),Random Forest,192,0.75,0.6429,0.5625,0.75,0.8375,Landmark (3-year horizon),0.1079
CTGAN,E: Synthetic data only (CTGAN),Gradient Boosting,192,0.7763,0.7003,0.8277,0.7763,0.7175,Landmark (3-year horizon),0.1079
CTGAN,E: Synthetic data only (CTGAN),Logistic Regression,192,0.7237,0.6298,0.5574,0.7237,0.7054,Landmark (3-year horizon),0.1079
Consensus,E: Synthetic data only (Consensus),Random Forest,747,0.8553,0.8321,0.8787,0.8553,0.9229,Landmark (3-year horizon),0.0809
Consensus,E: Synthetic data only (Consensus),Gradient Boosting,747,0.7763,0.7641,0.7598,0.7763,0.7959,Landmark (3-year horizon),0.0809
Consensus,E: Synthetic data only (Consensus),Logistic Regression,747,0.8947,0.8927,0.8923,0.8947,0.904,Landmark (3-year horizon),0.0809
