Method,Feature,Cohen_d,Effect_size
GAN (filtered),N_Days,-0.245,small
GAN (filtered),Age,-0.0119,negligible
GAN (filtered),Bilirubin,0.6856,medium
GAN (filtered),Cholesterol,0.5809,medium
GAN (filtered),Albumin,-0.644,medium
GAN (filtered),Copper,0.6072,medium
GAN (filtered),Alk_Phos,0.7714,medium
GAN (filtered),SGOT,0.3616,small
GAN (filtered),Tryglicerides,0.2292,small
GAN (filtered),Platelets,0.248,small
GAN (filtered),Prothrombin,0.159,negligible
cGAN (filtered),N_Days,0.1002,negligible
cGAN (filtered),Age,0.0071,negligible
cGAN (filtered),Bilirubin,0.6948,medium
cGAN (filtered),Cholesterol,0.6608,medium
cGAN (filtered),Albumin,0.0594,negligible
cGAN (filtered),Copper,0.5464,medium
cGAN (filtered),Alk_Phos,0.6672,medium
cGAN (filtered),SGOT,0.0888,negligible
cGAN (filtered),Tryglicerides,0.3034,small
cGAN (filtered),Platelets,0.1748,negligible
cGAN (filtered),Prothrombin,0.2268,small
VAE (filtered),N_Days,0.0994,negligible
VAE (filtered),Age,-0.0723,negligible
VAE (filtered),Bilirubin,-0.0163,negligible
VAE (filtered),Cholesterol,-0.0437,negligible
VAE (filtered),Albumin,0.1626,negligible
VAE (filtered),Copper,-0.1039,negligible
VAE (filtered),Alk_Phos,-0.0248,negligible
VAE (filtered),SGOT,-0.2304,small
VAE (filtered),Tryglicerides,0.0172,negligible
VAE (filtered),Platelets,-0.0882,negligible
VAE (filtered),Prothrombin,-0.0447,negligible
Consensus,N_Days,-0.0247,negligible
Consensus,Age,0.0765,negligible
Consensus,Bilirubin,0.53,medium
Consensus,Cholesterol,0.4265,small
Consensus,Albumin,-0.1925,negligible
Consensus,Copper,0.4621,small
Consensus,Alk_Phos,0.5315,medium
Consensus,SGOT,0.1082,negligible
Consensus,Tryglicerides,0.2811,small
Consensus,Platelets,0.0665,negligible
Consensus,Prothrombin,0.1972,negligible
